Run Nr.,ZS Version,Beta schedule,Beta value,Dropout,Bit variance A,Bit variance B,Recon error A,Recon error B,Effective bits
1,weighted,step,"0,30","0,4","5,81E-05","3,26E-03","2,52E-03","5,06E-03",30
3,weighted,step,"0,30","0,4","3,42E-05","1,45E-03","1,68E-03","2,32E-03",32
2,weighted,step,"0,20","0,4","1,78E-05","3,87E-03","8,09E-04","3,13E-03",39
3,weighted_root,step,"0,30","0,4","1,63E-05","2,78E-03","2,99E-03","4,76E-03",29
3,weighted,step,"0,20","0,4","1,61E-05","3,68E-03","1,14E-03","3,24E-03",37
1,mean,increase,"0,30","0,4","2,52E-07","8,69E-03","6,78E-04","2,28E-02",67
2,weighted_root,step,"0,50","0,4","2,45E-07","4,00E-03","6,41E-03","1,33E-02",26
1,mean,increase,"0,70","0,4","1,70E-03",,"4,60E-02",,79
1,mean,increase,"1,00","0,4","1,14E-03",,"3,75E-02",,74
2,weighted_root,step,"0,10","0,4","2,82E-08","4,52E-03","4,60E-04","2,89E-03",45
1,mean,increase,"0,05","0,4","9,91E-09","5,34E-03","3,71E-04","5,20E-03",68
3,weighted_root,step,"0,20","0,4","1,00E-09","4,40E-03","1,14E-03","3,49E-03",33
1,mean,increase,"0,01","0,4","0,00E+00","3,65E-03","3,77E-04","1,68E-03",77
1,mean,increase,"0,03","0,4","0,00E+00","4,85E-03","3,71E-04","2,66E-03",73
1,mean,step,"0,20","0,4","0,00E+00","1,01E-03","1,16E-02","1,35E-02",27
1,mean,step,"0,30","0,4","0,00E+00","1,09E-04","1,79E-02","1,83E-02",16
1,mean,step,"0,70","0,4","1,10E-04",,"2,08E-02",,86
1,mean,step,"1,00","0,4","8,21E-03",,"9,06E-01",,100
1,mean,increase,"0,07","0,4","0,00E+00","4,98E-03","3,67E-04","4,01E-03",68
1,mean,increase,"0,10","0,4","0,00E+00","5,12E-03","3,88E-04","6,03E-03",60
1,mean,increase,"0,20","0,4","0,00E+00","1,18E-02","4,85E-04","5,31E-02",65
1,mean,step,"0,01","0,4","0,00E+00","2,89E-03","3,52E-04","1,15E-03",71
1,mean,step,"0,03","0,4","0,00E+00","3,11E-03","3,62E-04","2,51E-03",57
2,root,increase,"0,01","0,4","0,00E+00","3,04E-03","3,56E-04","1,40E-03",75
3,root,increase,"0,01","0,4","0,00E+00","3,92E-03","3,57E-04","1,54E-03",77
2,root,increase,"0,03","0,4","0,00E+00","4,99E-03","3,65E-04","3,49E-03",66
1,root,increase,"0,05","0,4","0,00E+00","5,24E-03","3,67E-04","4,82E-03",56
1,mean,step,"0,05","0,4","0,00E+00","4,09E-03","4,29E-04","3,16E-03",51
3,weighted_root,step,"0,10","0,4","0,00E+00","4,30E-03","5,69E-04","3,10E-03",41
3,weighted_root,step,"0,05","0,4","0,00E+00","4,25E-03","3,94E-04","2,31E-03",49
3,root,increase,"0,05","0,4","0,00E+00","6,30E-03","3,68E-04","5,25E-03",64
1,root,increase,"0,01","0,4","0,00E+00","4,16E-03","3,72E-04","2,12E-03",72
1,root,step,"0,20","0,4","0,00E+00","3,44E-04","1,65E-02","1,73E-02",17
1,root,step,"0,30","0,4","0,00E+00","1,92E-05","1,97E-02","1,97E-02",15
1,root,step,"0,70","0,4","0,00E+00",,"6,02E-02",,0
1,root,step,"1,00","0,4","0,00E+00",,"6,02E-02",,0
1,root,increase,"0,07","0,4","0,00E+00","5,39E-03","3,77E-04","4,30E-03",60
